type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Cycle
charge,[2.0080e+03 4.0000e+00 2.0000e+00 1.3000e+01 8.0000e+00 1.7921e+01],24,B0005,0,5121,05121.csv,1
charge,[2.0080e+03 4.0000e+00 2.0000e+00 1.6000e+01 3.7000e+01 5.1984e+01],24,B0005,2,5123,05123.csv,2
charge,[2.0080e+03 4.0000e+00 2.0000e+00 2.0000e+01 5.5000e+01 4.0812e+01],24,B0005,4,5125,05125.csv,3
charge,[2.0080e+03 4.0000e+00 3.0000e+00 1.0000e+00 1.2000e+01 3.8671e+01],24,B0005,6,5127,05127.csv,4
charge,[2008.       4.       3.       5.      27.      49.125],24,B0005,8,5129,05129.csv,5
charge,[2008.       4.       3.       9.      44.      35.078],24,B0005,10,5131,05131.csv,6
charge,[2008.       4.       3.      14.       6.      43.234],24,B0005,12,5133,05133.csv,7
charge,[2008.       4.       3.      18.      28.      47.125],24,B0005,14,5135,05135.csv,8
charge,[2008.       4.       3.      22.      38.      27.453],24,B0005,16,5137,05137.csv,9
charge,[2.008e+03 4.000e+00 4.000e+00 2.000e+00 4.800e+01 6.156e+00],24,B0005,18,5139,05139.csv,10
charge,[2.008e+03 4.000e+00 4.000e+00 6.000e+00 5.800e+01 2.960e-01],24,B0005,20,5141,05141.csv,11
charge,[2008.       4.       4.      11.       6.      50.375],24,B0005,22,5143,05143.csv,12
charge,[2008.       4.       4.      15.       5.      59.906],24,B0005,23,5144,05144.csv,13
charge,[2008.       4.       4.      19.       5.      19.234],24,B0005,25,5146,05146.csv,14
charge,[2008.       4.       4.      23.      10.      25.421],24,B0005,27,5148,05148.csv,15
charge,[2008.       4.       5.       3.      28.      57.234],24,B0005,29,5150,05150.csv,16
charge,[2008.       4.       5.       7.      33.      12.734],24,B0005,31,5152,05152.csv,17
charge,[2008.      4.      5.     11.     38.     22.14],24,B0005,33,5154,05154.csv,18
charge,[2008.       4.       5.      15.      42.      11.531],24,B0005,35,5156,05156.csv,19
charge,[2008.       4.       5.      19.      46.      36.125],24,B0005,37,5158,05158.csv,20
charge,[2008.      4.     18.     17.     34.     22.89],24,B0005,39,5160,05160.csv,21
charge,[2008.       4.      18.      22.      53.      58.343],24,B0005,43,5164,05164.csv,22
charge,[2008.       4.      19.       4.      12.       6.343],24,B0005,47,5168,05168.csv,23
charge,[2008.       4.      19.       9.      29.      52.703],24,B0005,51,5172,05172.csv,24
charge,[2008.       4.      19.      14.      43.      41.265],24,B0005,55,5176,05176.csv,25
charge,[2008.      4.     19.     20.      9.     47.75],24,B0005,59,5180,05180.csv,26
charge,[2.0080e+03 4.0000e+00 2.0000e+01 1.0000e+00 2.2000e+01 5.3953e+01],24,B0005,63,5184,05184.csv,27
charge,[2008.       4.      20.       6.      35.      39.765],24,B0005,67,5188,05188.csv,28
charge,[2008.       4.      20.      11.      57.       8.765],24,B0005,71,5192,05192.csv,29
charge,[2008.       4.      20.      17.      17.      44.031],24,B0005,75,5196,05196.csv,30
charge,[2008.       4.      20.      22.      31.      18.046],24,B0005,79,5200,05200.csv,31
charge,[2008.       4.      21.      17.      51.      26.312],24,B0005,83,5204,05204.csv,32
charge,[2008.       4.      22.      14.      15.      41.187],24,B0005,84,5205,05205.csv,33
charge,[2008.       4.      22.      17.       4.      53.218],24,B0005,87,5208,05208.csv,34
charge,[2008.       4.      22.      21.      56.      21.406],24,B0005,91,5212,05212.csv,35
charge,[2.0080e+03 4.0000e+00 2.3000e+01 2.0000e+00 4.7000e+01 5.5453e+01],24,B0005,95,5216,05216.csv,36
charge,[2008.       4.      23.       7.      47.      54.718],24,B0005,99,5220,05220.csv,37
charge,[2008.       4.      23.      12.      37.      17.515],24,B0005,103,5224,05224.csv,38
charge,[2008.       4.      23.      17.      35.      42.828],24,B0005,107,5228,05228.csv,39
charge,[2008.       4.      23.      22.      32.       6.671],24,B0005,111,5232,05232.csv,40
charge,[2008.       4.      24.       3.      20.      23.359],24,B0005,115,5236,05236.csv,41
charge,[2008.       4.      24.       8.      18.      41.703],24,B0005,119,5240,05240.csv,42
charge,[2008.      4.     24.     13.     17.     56.25],24,B0005,123,5244,05244.csv,43
charge,[2008.       4.      24.      18.      14.      28.937],24,B0005,127,5248,05248.csv,44
charge,[2008.       4.      24.      23.       6.      34.156],24,B0005,131,5252,05252.csv,45
charge,[2.0080e+03 4.0000e+00 2.5000e+01 1.7000e+01 2.0000e+00 3.5703e+01],24,B0005,134,5255,05255.csv,46
charge,[2008.       4.      25.      21.      32.      20.468],24,B0005,137,5258,05258.csv,47
charge,[2.0080e+03 4.0000e+00 2.6000e+01 2.0000e+00 3.2000e+01 4.1093e+01],24,B0005,141,5262,05262.csv,48
charge,[2008.       4.      26.       7.      25.      23.031],24,B0005,145,5266,05266.csv,49
charge,[2008.       4.      28.      17.      20.      47.859],24,B0005,148,5269,05269.csv,50
charge,[2008.       4.      29.      13.      44.      46.546],24,B0005,151,5272,05272.csv,51
